symbol,date,time,open,high,low,close,volume,amt
510300.SH,2021/11/16,15:00,4.889693934,4.919232963,4.873939785,4.883786128,351870304,1750476656
510300.SH,2021/11/17,15:00,4.876893688,4.897571008,4.865078076,4.882801494,226981757,1125215664
510300.SH,2021/11/18,15:00,4.870985882,4.875909054,4.826677339,4.839477585,360601200,1774308240
510300.SH,2021/11/19,15:00,4.834554413,4.899540277,4.829631242,4.893632471,275920592,1365616720
510300.SH,2021/11/22,15:00,4.897571008,4.918248329,4.890678568,4.906432717,353647488,1761554912
510300.SH,2021/11/23,15:00,4.899540277,4.9231715,4.889693934,4.90938662,317267248,1582334512
510300.SH,2021/11/24,15:00,4.90938662,4.938925649,4.897571008,4.920217597,178594706,891904464
510300.SH,2021/11/25,15:00,4.921202231,4.922186866,4.893632471,4.901509545,137259970,683495472
510300.SH,2021/11/26,15:00,4.8887093,4.889693934,4.851293196,4.860154905,204637800,1011650368
510300.SH,2021/11/29,15:00,4.82470807,4.862124173,4.82470807,4.853262465,233856000,1151391536
510300.SH,2021/11/30,15:00,4.856216368,4.872955151,4.812892458,4.835539047,183680000,903625440
510300.SH,2021/12/1,15:00,4.835539047,4.853262465,4.83160051,4.848339293,211626158,1040600304
510300.SH,2021/12/2,15:00,4.844400756,4.869016614,4.827661973,4.858185636,161035147,794007120
510300.SH,2021/12/3,15:00,4.858185636,4.903478814,4.850308562,4.90249418,219632143,1087954880
510300.SH,2021/12/6,15:00,4.905448083,4.938925649,4.892647837,4.897571008,332899120,1663482016
510300.SH,2021/12/7,15:00,4.918248329,4.932033209,4.901509545,4.925140769,212426758,1060624160
510300.SH,2021/12/8,15:00,4.93006394,5.00095761,4.912340523,4.996034438,341191712,1721655424
510300.SH,2021/12/9,15:00,4.999972975,5.124036897,4.998003707,5.078743719,633221168,3267970656
510300.SH,2021/12/10,15:00,5.063974205,5.070866645,5.044281519,5.063974205,396126048,2035800624
510300.SH,2021/12/13,15:00,5.087605428,5.146683486,5.069882011,5.076774451,429033776,2227870768
510300.SH,2021/12/14,15:00,5.058066399,5.075789817,5.036404445,5.046250788,362687776,1860581408
510300.SH,2021/12/15,15:00,5.041327616,5.057081765,4.997019073,5.00095761,203583199,1038757248
510300.SH,2021/12/16,15:00,5.003911513,5.02852737,4.98717273,5.027542736,377304336,1919332416
510300.SH,2021/12/17,15:00,5.019665661,5.022619564,4.953695163,4.955664432,622618896,3145885072
510300.SH,2021/12/20,15:00,4.941879552,4.972403215,4.870985882,4.881816859,851825296,4250322976
510300.SH,2021/12/21,15:00,4.876893688,4.915294426,4.872955151,4.90249418,517133520,2572582592
510300.SH,2021/12/22,15:00,4.915294426,4.927110037,4.893632471,4.905448083,666046192,3320651904
510300.SH,2021/12/23,15:00,4.91627906,4.948771992,4.901509545,4.942864186,302305264,1512949488
510300.SH,2021/12/24,15:00,4.948771992,4.954679798,4.901509545,4.920217597,260396101,1301806384
510300.SH,2021/12/27,15:00,4.920217597,4.940894917,4.893632471,4.924156134,504491328,2520394800
510300.SH,2021/12/28,15:00,4.924156134,4.959602969,4.915294426,4.949756626,639914176,3209575440
510300.SH,2021/12/29,15:00,4.947787358,4.953695163,4.882801494,4.883786128,403865552,2011288448
510300.SH,2021/12/30,15:00,4.883786128,4.939910283,4.878862957,4.919232963,474498016,2369943648
510300.SH,2021/12/31,15:00,4.933017843,4.951725895,4.917263694,4.931048574,351416592,1760912800
